OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
0,1,1,1,1,100000,100000,0,26.490050,3775.002338,7.387558,8.681095,10.822849
0,1,1,1,1,100000,100000,0,26.512829,3771.758973,7.561924,9.000755,11.191012
0,1,1,1,1,100000,100000,0,27.238571,3671.264500,7.477362,8.797542,10.949907
0,1,1,1,1,100000,100000,0,26.726835,3741.557806,7.339869,8.647674,10.727039
0,1,1,1,1,100000,100000,0,26.519550,3770.802984,7.348668,8.614867,10.727813
0,1,1,1,1,100000,100000,0,27.092381,3691.074670,7.441218,8.744179,10.895230
0,1,1,1,1,100000,100000,0,26.617621,3756.909706,7.317581,8.585983,10.719969
0,1,1,1,1,100000,100000,0,41.778876,2393.554105,7.288737,8.567723,10.664539
0,1,1,1,1,100000,100000,0,12.837639,7789.594556,7.713466,9.076124,11.282692
0,1,1,1,1,100000,100000,0,49.578221,2017.014685,13.645455,15.980143,19.925994
1,1,2,2,1,100000,100000,0,48.215855,2074.006556,13.113632,15.679281,19.959138
1,1,2,2,1,100000,100000,0,26.723352,3742.045519,7.223453,8.761930,11.175214
1,1,2,2,1,100000,100000,0,26.886624,3719.321494,7.150381,8.678787,11.043797
1,1,2,2,1,100000,100000,0,47.782899,2092.798949,12.799200,15.390506,19.564629
1,1,2,2,1,100000,100000,0,46.938756,2130.435662,12.696794,15.320779,19.323177
1,1,2,2,1,100000,100000,0,26.981779,3706.204888,7.248708,8.762864,11.145488
1,1,2,2,1,100000,100000,0,26.700118,3745.301864,7.103913,8.602987,10.964528
1,1,2,2,1,100000,100000,0,27.143644,3684.103788,7.231609,8.760997,11.152775
1,1,2,2,1,100000,100000,0,27.033194,3699.155904,7.190029,8.725309,11.102656
1,1,2,2,1,100000,100000,0,47.199012,2118.688419,12.660382,15.218420,19.290399
1,1,3,3,1,100000,100000,0,24.297411,4115.664865,6.141646,7.807296,10.329888
1,1,3,3,1,100000,100000,0,45.062750,2219.127791,11.632751,14.450831,19.071712
1,1,3,3,1,100000,100000,0,24.026701,4162.036178,6.269772,7.983647,10.594648
1,1,3,3,1,100000,100000,0,24.816639,4029.554505,6.279186,7.964931,10.558860
1,1,3,3,1,100000,100000,0,43.909947,2277.388333,11.297132,14.120234,18.463119
1,1,3,3,1,100000,100000,0,24.666986,4054.001642,6.773117,8.591206,11.366161
1,1,3,3,1,100000,100000,0,24.790656,4033.777875,6.277252,7.960661,10.537209
1,1,3,3,1,100000,100000,0,43.500248,2298.837451,11.215169,13.938137,18.394931
1,1,3,3,1,100000,100000,0,30.332141,3296.832941,7.731689,9.760303,12.818307
1,1,3,3,1,100000,100000,0,38.955188,2567.052185,10.018908,12.546559,16.533068
1,1,4,4,1,100000,100000,0,24.747531,4040.807223,6.236023,7.922609,10.507017
1,1,4,4,1,100000,100000,0,24.886996,4018.162714,6.291697,8.024962,10.621192
1,1,4,4,1,100000,100000,0,24.834148,4026.713480,6.263711,7.986119,10.567920
1,1,4,4,1,100000,100000,0,25.006746,3998.920896,6.309263,8.013358,10.671305
1,1,4,4,1,100000,100000,0,24.902516,4015.658508,6.289082,7.988217,10.607695
1,1,4,4,1,100000,100000,0,25.007731,3998.763501,6.317159,8.025744,10.651523
1,1,4,4,1,100000,100000,0,25.186898,3970.318159,6.372449,8.091180,10.705942
1,1,4,4,1,100000,100000,0,24.906988,4014.937420,6.281156,8.016694,10.594522
1,1,4,4,1,100000,100000,0,25.541876,3915.139261,6.466776,8.197516,10.861007
1,1,4,4,1,100000,100000,0,24.993499,4001.040485,6.294519,8.026659,10.655462
1,1,5,5,1,100000,100000,0,26.136321,3826.093224,6.641225,8.408128,11.070961
1,1,5,5,1,100000,100000,0,26.196017,3817.374235,6.633422,8.422141,11.125283
1,1,5,5,1,100000,100000,0,26.133181,3826.552873,6.623620,8.381891,11.111109
1,1,5,5,1,100000,100000,0,26.253659,3808.992854,6.667282,8.418471,11.150358
1,1,5,5,1,100000,100000,0,26.217216,3814.287560,6.645668,8.396364,11.129973
1,1,5,5,1,100000,100000,0,26.301187,3802.109703,6.692638,8.435963,11.186213
1,1,5,5,1,100000,100000,0,26.200259,3816.756167,6.649508,8.403552,11.130358
1,1,5,5,1,100000,100000,0,26.338461,3796.729069,6.694938,8.432632,11.192214
1,1,5,5,1,100000,100000,0,26.567675,3763.972585,6.765692,8.509761,11.278105
1,1,5,5,1,100000,100000,0,26.340775,3796.395445,6.673847,8.452489,11.194740
1,1,8,8,1,100000,100000,0,34.536498,2895.487576,9.354121,11.123200,14.041920
1,1,8,8,1,100000,100000,0,35.262282,2835.891339,9.558506,11.338720,14.345909
1,1,8,8,1,100000,100000,0,39.304987,2544.206398,10.621939,12.706276,15.951437
1,1,8,8,1,100000,100000,0,42.525376,2351.537137,11.751091,13.683089,17.072771
1,1,8,8,1,100000,100000,0,37.523027,2665.030187,10.482560,12.398039,15.592444
1,1,8,8,1,100000,100000,0,39.159907,2553.632229,11.678864,13.769173,17.026426
1,1,8,8,1,100000,100000,0,38.523692,2595.805185,11.091508,13.175926,16.321197
1,1,8,8,1,100000,100000,0,41.500069,2409.634528,11.319703,13.470368,16.689498
1,1,8,8,1,100000,100000,0,41.414741,2414.599205,11.413306,13.410810,16.607992
1,1,8,8,1,100000,100000,0,40.563329,2465.280881,11.615352,13.659011,16.893287
