TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,6.263,15961.229,3.792,0.948
6,2,3,4.591,21781.388,5.173,0.862
6,3,2,6.406,15610.016,3.708,0.618
8,2,4,4.077,24525.639,5.826,0.728
8,4,2,6.332,15792.161,3.751,0.469
9,3,3,4.683,21264.737,5.072,0.564
12,3,4,4.118,24285.906,5.768,0.481
12,4,3,4.653,21491.078,5.104,0.425
16,4,4,4.08,24508.054,5.821,0.364
