TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,16.566,6036.584,1.434,0.717
3,3,14.67,6812.203,1.619,0.54
4,4,14.941,6691.131,1.59,0.398
5,5,15.853,6308.104,1.498,0.3
8,8,21.807,4586.269,1.089,0.136
