TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
4,2,2,6.339398,15774.45138,8.245767,8.712236,10.07504,2.549,0.637,0.622,0.156,0.663,0.166,0.679,0.17
6,2,3,4.550959,21973.427466,9.00307,9.524514,11.085141,3.55,0.592,0.57,0.095,0.607,0.101,0.617,0.103
6,3,2,4.564946,21906.0678,8.989836,9.544126,11.098322,3.54,0.59,0.571,0.095,0.606,0.101,0.616,0.103
8,2,4,3.906062,25601.244788,10.441747,11.072846,12.901844,4.137,0.517,0.491,0.061,0.522,0.065,0.53,0.066
8,4,2,4.362552,22922.404653,10.343848,11.067542,12.874404,3.704,0.463,0.496,0.062,0.522,0.065,0.531,0.066
9,3,3,3.958813,25091.651309,11.625901,12.413639,14.443853,4.082,0.454,0.441,0.049,0.466,0.052,0.473,0.053
12,3,4,3.977204,25143.297565,15.273046,16.395041,19.192766,4.063,0.339,0.336,0.028,0.352,0.029,0.356,0.03
12,4,3,4.034408,24786.79629,15.134226,16.574206,19.201312,4.005,0.334,0.339,0.028,0.349,0.029,0.356,0.03
16,4,4,4.054804,24662.250902,21.178164,21.881726,25.345096,3.985,0.249,0.242,0.015,0.264,0.016,0.27,0.017
