TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,SPEEDUP,EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
2,2,16.923372,5908.990886,5.22696,5.988452,7.237174,0.955,0.478,0.982,0.491,0.965,0.482,0.945,0.472
3,3,14.579433,6858.977235,4.391366,5.181506,6.49309,1.108,0.369,1.169,0.39,1.115,0.372,1.053,0.351
4,4,15.065132,6637.845712,4.53095,5.351019,6.668345,1.073,0.268,1.133,0.283,1.08,0.27,1.025,0.256
5,5,16.072318,6221.878677,4.832807,5.687168,7.05788,1.005,0.201,1.062,0.212,1.016,0.203,0.969,0.194
8,8,21.362916,4681.015112,6.693452,7.655472,9.081484,0.756,0.094,0.767,0.096,0.755,0.094,0.753,0.094
