TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,16.199,6186.077,1.092,0.546
3,3,8.329,12015.512,2.124,0.708
4,4,6.352,15743.612,2.785,0.696
5,5,6.666,15002.52,2.654,0.531
8,8,5.355,18673.316,3.304,0.413
