TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,7.999,12501.947,2.212,0.553
6,2,3,5.356,18091.006,3.303,0.55
6,3,2,5.732,17445.215,3.087,0.515
8,2,4,4.421,22619.672,4.002,0.5
8,4,2,4.511,22168.545,3.922,0.49
9,3,3,4.722,21177.723,3.747,0.416
12,3,4,5.622,17788.996,3.147,0.262
12,4,3,4.838,20698.88,3.657,0.305
16,4,4,4.406,22696.731,4.016,0.251
