TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,21.801,4588.085,0.812,0.406
3,3,18.576,5383.418,0.952,0.317
4,4,22.954,4356.72,0.771,0.193
5,5,25.218,3965.703,0.702,0.14
8,8,31.28,3211.135,0.566,0.071
