TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
4,2,2,7.176,13935.642,8.563,9.032,10.464,2.264,0.566,1.897,0.474,1.798,0.45,1.552,0.388
6,2,3,5.414,18407.169,9.655,10.293,11.959,3.0,0.5,1.682,0.28,1.578,0.263,1.358,0.226
6,3,2,5.388,18558.556,9.59,10.189,11.796,3.015,0.503,1.694,0.282,1.594,0.266,1.377,0.23
8,2,4,4.674,21394.704,11.154,11.769,13.734,3.475,0.434,1.456,0.182,1.38,0.172,1.183,0.148
8,4,2,4.597,21752.446,10.901,11.606,13.482,3.533,0.442,1.49,0.186,1.4,0.175,1.205,0.151
9,3,3,4.657,21474.078,12.153,12.99,15.194,3.488,0.388,1.337,0.149,1.25,0.139,1.069,0.119
12,3,4,4.708,21242.166,16.933,18.17,21.562,3.45,0.288,0.959,0.08,0.894,0.074,0.753,0.063
12,4,3,4.649,21484.225,15.791,16.892,19.996,3.494,0.291,1.029,0.086,0.962,0.08,0.812,0.068
16,4,4,4.67,21414.342,21.81,22.375,26.125,3.478,0.217,0.745,0.047,0.726,0.045,0.622,0.039
