TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
2,2,12.008,8328.217,7.172,7.51,8.62,1.353,0.676,2.265,1.132,2.163,1.082,1.884,0.942
3,3,8.69,11507.416,7.76,8.292,9.672,1.869,0.623,2.093,0.698,1.959,0.653,1.679,0.56
4,4,7.101,14082.977,8.432,9.017,10.555,2.287,0.572,1.926,0.482,1.801,0.45,1.539,0.385
5,5,6.2,16130.078,9.215,9.845,11.452,2.62,0.524,1.763,0.353,1.65,0.33,1.418,0.284
8,8,4.763,20994.916,11.184,12.034,14.141,3.41,0.426,1.452,0.182,1.35,0.169,1.149,0.144
