TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
2,2,16.407,6094.859,4.651,5.307,6.444,0.99,0.495,3.492,1.746,3.061,1.53,2.521,1.26
3,3,14.656,6823.271,4.009,4.719,5.916,1.108,0.369,4.052,1.351,3.442,1.147,2.746,0.915
4,4,16.566,6036.589,4.53,5.322,6.688,0.981,0.245,3.586,0.896,3.052,0.763,2.429,0.607
5,5,17.435,5735.5,4.817,5.61,7.012,0.932,0.186,3.372,0.674,2.895,0.579,2.316,0.463
8,8,21.303,4694.222,5.993,6.891,8.395,0.762,0.095,2.71,0.339,2.357,0.295,1.935,0.242
