TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,11.136,8979.81,1.463,0.732
3,3,8.026,12459.226,2.03,0.677
4,4,6.297,15881.38,2.588,0.647
5,5,6.317,14168.601,2.579,0.516
8,8,4.097,24405.399,3.977,0.497
