TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,16.584,6029.744,0.983,0.492
3,3,14.671,6816.364,1.111,0.37
4,4,14.876,6722.033,1.095,0.274
5,5,15.902,6288.667,1.025,0.205
8,8,21.533,4644.042,0.757,0.095
