TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,17.087,5860.234,0.91,0.455
3,3,14.641,6830.05,1.062,0.354
4,4,14.784,6763.925,1.052,0.263
5,5,15.682,6376.643,0.992,0.198
8,8,19.472,5135.684,0.799,0.1
