TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,6.189,16142.19,2.513,0.628
6,2,3,4.543,22012.883,3.423,0.57
6,3,2,4.567,21895.29,3.405,0.568
8,2,4,3.939,25386.619,3.948,0.494
8,4,2,3.957,25262.241,3.93,0.491
9,3,3,4.047,24706.888,3.843,0.427
12,3,4,4.027,24745.836,3.862,0.322
12,4,3,4.02,24874.267,3.869,0.322
16,4,4,4.065,24601.708,3.826,0.239
