TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,10.918,9158.951,1.424,0.712
3,3,8.232,12148.403,1.889,0.63
4,4,6.108,16371.824,2.546,0.636
5,5,5.359,18661.072,2.902,0.58
8,8,3.957,25272.344,3.93,0.491
