TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,16.505,6058.721,1.439,0.72
3,3,14.684,6810.085,1.617,0.539
4,4,15.045,6646.799,1.579,0.395
5,5,15.816,6322.644,1.502,0.3
8,8,21.729,4602.139,1.093,0.137
