TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,11.273,8871.139,2.107,1.054
3,3,8.064,12401.045,2.945,0.982
4,4,6.132,16250.806,3.873,0.968
5,5,5.335,18720.239,4.452,0.89
8,8,4.186,23887.439,5.674,0.709
