TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,6.266,15958.132,3.79,0.948
6,2,3,4.673,21399.203,5.083,0.847
6,3,2,4.994,20022.478,4.756,0.793
8,2,4,4.254,23508.613,5.583,0.698
8,4,2,4.209,23757.221,5.643,0.705
9,3,3,4.271,23298.515,5.561,0.618
12,3,4,4.304,23235.828,5.518,0.46
12,4,3,4.273,23401.673,5.558,0.463
16,4,4,4.307,23216.474,5.515,0.345
