TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,17.761,5630.28,1.53,0.765
3,3,12.849,7782.425,2.115,0.705
4,4,9.582,10436.085,2.836,0.709
5,5,8.155,11919.261,3.332,0.666
8,8,6.313,15839.996,4.305,0.538
