TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,27.145,3683.944,1.001,0.5
3,3,24.417,4095.538,1.113,0.371
4,4,24.989,4001.799,1.087,0.272
5,5,26.465,3778.554,1.027,0.205
8,8,34.76,2876.897,0.782,0.098
