TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,8.902,5618.76,1.488,0.744
3,3,6.636,7535.89,1.997,0.666
4,4,4.92,10162.411,2.693,0.673
5,5,5.154,9700.844,2.571,0.514
8,8,3.714,13485.839,3.567,0.446
