TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,5.101,9802.36,2.597,0.649
6,2,3,3.74,13369.139,3.543,0.59
6,3,2,4.08,12254.954,3.247,0.541
8,2,4,3.788,13200.775,3.498,0.437
8,4,2,3.05,16392.918,4.344,0.543
9,3,3,3.155,15855.34,4.199,0.467
12,3,4,2.828,17679.041,4.685,0.39
12,4,3,2.843,17585.946,4.66,0.388
16,4,4,3.076,16255.663,4.307,0.269
