TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,13.992,3573.682,0.947,0.474
3,3,12.839,3894.312,1.032,0.344
4,4,14.193,3522.909,0.933,0.233
5,5,16.578,3016.173,0.799,0.16
8,8,17.112,2921.922,0.774,0.097
