TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,3.999,12503.489,3.313,0.828
6,2,3,2,2.893,17281.527,4.58,0.763
6,3,2,2,2.973,16841.07,4.456,0.743
8,2,4,2,2.295,21787.039,5.773,0.722
8,4,2,2,2.251,22237.233,5.886,0.736
9,3,3,2,2.293,21805.448,5.778,0.642
12,3,4,2,2.08,24032.844,6.37,0.531
12,4,3,2,1.942,25753.674,6.822,0.568
16,2,8,2,1.835,27252.755,7.22,0.451
16,4,4,2,1.834,27258.988,7.224,0.452
16,8,2,2,1.708,29275.605,7.757,0.485
24,3,8,2,1.936,25824.051,6.843,0.285
24,8,3,2,1.502,33290.15,8.821,0.368
32,4,8,2,1.732,28875.391,7.65,0.239
32,8,4,2,1.744,28664.815,7.597,0.237
64,8,8,2,1.668,29975.754,7.943,0.124
