TOT_WORKERS,MPI_RANKS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,8.555,11689.118,3.0,0.75
6,2,3,6.806,14693.061,3.771,0.628
6,3,2,6.722,14883.951,3.818,0.636
8,2,4,5.838,17128.987,4.396,0.55
8,4,2,5.739,17423.556,4.472,0.559
9,3,3,5.86,17063.771,4.38,0.487
12,3,4,6.512,15356.791,3.941,0.328
12,4,3,5.996,16677.98,4.28,0.357
16,4,4,5.88,17006.69,4.365,0.273
