TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
2,2,27.169,3680.779,0.945,0.472
3,3,24.929,4011.349,1.03,0.343
4,4,25.376,3940.754,1.011,0.253
5,5,26.53,3769.349,0.967,0.193
8,8,33.037,3026.889,0.777,0.097
