OMP_ENABLED,N_THREADS,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,100000,100000,0,32.035970,3121.491241
1,2,100000,100000,0,18.688447,5350.899346
1,2,100000,100000,0,19.432021,5146.145146
1,2,100000,100000,0,18.351489,5449.149029
1,2,100000,100000,0,18.274948,5471.971826
#
1,4,100000,100000,0,10.107150,9893.985863
1,4,100000,100000,0,10.254422,9751.890250
1,4,100000,100000,0,10.448388,9570.854304
1,4,100000,100000,0,10.506839,9517.610061
# schedule(dynamic) dentro indcpa.c gen_matrix
1,2,100000,100000,0,18.430747,5425.715947
1,2,100000,100000,0,18.027771,5546.997607
1,2,100000,100000,0,18.159445,5506.776291
1,4,100000,100000,0,10.200412,9803.525246
1,4,100000,100000,0,10.254043,9752.250562
1,4,100000,100000,0,10.217599,9787.035011

