OMP_ENABLED,N_NODES,N_THREADS,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,100000,100000,0,10.879615,9191.501709
1,2,3,100000,100000,0,10.774119,9281.501630
1,2,4,100000,100000,0,10.989320,9099.744167
1,2,2,100000,100000,0,11.418015,8758.089628
1,3,2,100000,100000,0,9.218140,10848.175791

1,3,3,100000,100000,0,7.370854,13566.948202
1,3,4,100000,100000,0,7.486889,13356.683197
1,4,3,100000,100000,0,7.522107,13294.147315
1,4,4,100000,100000,0,8.110758,12329.303705
1,4,4,100000,100000,0,7.771237,12867.964991
