TOT_WORKERS,OMP_THREADS,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
2,2,17.70532,5648.221812,11.004646,12.399483,15.183418,1.511,0.756,0.734,0.367,0.767,0.384,0.78,0.39
3,3,12.599976,7937.360442,11.655416,13.300194,16.269546,2.123,0.708,0.693,0.231,0.715,0.238,0.728,0.243
4,4,9.565654,10426.796144,11.83768,13.526024,16.578241,2.797,0.699,0.683,0.171,0.703,0.176,0.715,0.179
5,5,8.163822,12249.175774,12.80288,14.533704,17.821998,3.277,0.655,0.631,0.126,0.655,0.131,0.665,0.133
8,8,6.258643,15977.911592,15.055776,17.251465,21.120108,4.275,0.534,0.537,0.067,0.552,0.069,0.561,0.07
